#,Medicamento (Principio Activo),Categoría Principal,Búsquedas Mensuales Estimadas (México)
1,Paracetamol,Analgésico / Antipirético,"300,000 - 500,000"
2,Omeprazol,Antiácido / Protector gástrico,"250,000 - 400,000"
3,Ibuprofeno,Antiinflamatorio / Analgésico,"200,000 - 350,000"
4,Metformina,Antidiabético,"200,000 - 350,000"
5,Ketorolaco,Analgésico agudo,"150,000 - 250,000"
6,Semaglutida (Ozempic / Rybelsus),Antidiabético / Control de peso,"150,000 - 300,000"
7,Amoxicilina,Antibiótico,"120,000 - 220,000"
8,Clonazepam,Ansiolítico (Venta controlada),"120,000 - 220,000"
9,Naproxeno,Antiinflamatorio,"100,000 - 200,000"
10,Losartán,Antihipertensivo,"100,000 - 180,000"
11,Diclofenaco,Antiinflamatorio,"100,000 - 180,000"
12,Loratadina,Antihistamínico,"100,000 - 180,000"
13,Sildenafilo,Disfunción eréctil,"100,000 - 180,000"
14,Levonorgestrel,Pastilla del día siguiente,"110,000 - 200,000"
15,Azitromicina,Antibiótico,"90,000 - 160,000"
16,Dexametasona,Corticoide antiinflamatorio,"90,000 - 150,000"
17,Alprazolam,Ansiolítico (Venta controlada),"90,000 - 160,000"
18,Butilhioscina (Buscapina),Antiespasmódico / Cólicos,"80,000 - 140,000"
19,Sertralina,Antidepresivo,"80,000 - 150,000"
20,Pregabalina,Dolor neuropático / Ansiedad,"80,000 - 150,000"
21,Ácido acetilsalicílico (Aspirina),Analgésico / Antiagregante,"80,000 - 150,000"
22,Atorvastatina,Control de Colesterol,"70,000 - 120,000"
23,Ciprofloxacino,Antibiótico,"70,000 - 130,000"
24,Fluconazol,Antifúngico (Hongos),"70,000 - 130,000"
25,Tadalafilo,Disfunción eréctil / Próstata,"70,000 - 130,000"
26,Tramadol,Analgésico moderado a severo,"60,000 - 110,000"
27,Amoxicilina con Ác. Clavulánico,Antibiótico,"60,000 - 110,000"
28,Salbutamol,Broncodilatador / Asma,"60,000 - 110,000"
29,Fluoxetina,Antidepresivo,"60,000 - 110,000"
30,Clotrimazol,Antifúngico,"60,000 - 110,000"
31,Albendazol,Antiparasitario,"60,000 - 110,000"
32,Levotiroxina,Hormona tiroidea,"60,000 - 110,000"
33,Telmisartán,Antihipertensivo,"50,000 - 90,000"
34,Metamizol (Dipirona),Analgésico / Antipirético,"50,000 - 90,000"
35,Empagliflozina (Jardianz),Antidiabético,"50,000 - 90,000"
36,Orlistat,Control de peso,"50,000 - 100,000"
37,Loperamida,Antidiarreico,"50,000 - 90,000"
38,Ceftriaxona,Antibiótico inyectable,"50,000 - 90,000"
39,Cetirizina,Antihistamínico,"50,000 - 90,000"
40,Escitalopram,Antidepresivo,"50,000 - 90,000"
41,Ketoconazol,Antifúngico,"50,000 - 90,000"
42,Ivermectina,Antiparasitario,"50,000 - 100,000"
43,Meloxicam,Antiinflamatorio articular,"40,000 - 80,000"
44,Enalapril,Antihipertensivo,"40,000 - 70,000"
45,Metoprolol,Antihipertensivo / Arritmias,"40,000 - 75,000"
46,Rosuvastatina,Control de Colesterol,"40,000 - 80,000"
47,Liraglutida (Saxenda),Control de peso,"40,000 - 80,000"
48,Pantoprazol,Protector gástrico,"40,000 - 80,000"
49,Subsalicilato de bismuto,Antiácido / Indigestión,"40,000 - 80,000"
50,Metoclopramida,Antiemético / Reflujo,"40,000 - 75,000"
51,Cefalexina,Antibiótico,"40,000 - 75,000"
52,Clindamicina,Antibiótico,"45,000 - 85,000"
53,Ambroxol,Mucolítico,"45,000 - 85,000"
54,Montelukast,Asma / Rinitis alérgica,"40,000 - 80,000"
55,Clorfenamina,Antihistamínico,"40,000 - 75,000"
56,Gabapentina,Dolor neuropático,"40,000 - 80,000"
57,Quetiapina,Antipsicótico / Insomnio,"40,000 - 75,000"
58,Nitazoxanida,Antiparasitario,"40,000 - 80,000"
59,Finasterida / Dutasterida,Caída de cabello / Próstata,"40,000 - 80,000"
60,Diosmina con Hesperidina,Várices / Insuficiencia venosa,"35,000 - 70,000"
61,Esomeprazol,Protector gástrico,"35,000 - 70,000"
62,Trimetoprima / Sulfametoxazol,Antibiótico urinario/respiratorio,"35,000 - 70,000"
63,Nitrofurantoína,Antibiótico urinario,"35,000 - 70,000"
64,Desloratadina,Antihistamínico,"35,000 - 70,000"
65,Terbinafina,Antifúngico (Uñas/Piel),"35,000 - 70,000"
66,Captopril,Antihipertensivo,"30,000 - 60,000"
67,Amlodipino,Antihipertensivo,"30,000 - 60,000"
68,Furosemida,Diurético,"30,000 - 60,000"
69,Glibenclamida,Antidiabético,"30,000 - 60,000"
70,Linagliptina (Trayenta),Antidiabético,"30,000 - 60,000"
71,Simeticona,Antiflatulento,"30,000 - 60,000"
72,Levofloxacino,Antibiótico,"30,000 - 60,000"
73,Doxiciclina,Antibiótico,"30,000 - 60,000"
74,Dextrometorfano,Antitusivo (Tos seca),"30,000 - 60,000"
75,Fluticasona,Corticoide nasal,"30,000 - 60,000"
76,Clonixinato de lisina,Analgésico,"20,000 - 45,000"
77,Celecoxib,Antiinflamatorio selectivo,"20,000 - 40,000"
78,Simvastatina,Control de Colesterol,"20,000 - 45,000"
79,Hidroclorotiazida,Diurético,"20,000 - 40,000"
80,Espironolactona,Diurético,"25,000 - 50,000"
81,Clopidogrel,Antiagregante plaquetario,"25,000 - 50,000"
82,Sitagliptina,Antidiabético,"20,000 - 40,000"
83,Insulina Glargina,Diabetes (Insulina),"25,000 - 50,000"
84,Senósidos A-B,Laxante,"20,000 - 40,000"
85,Claritromicina,Antibiótico,"25,000 - 50,000"
86,Oseltamivir,Antiviral (Influenza estacional),"20,000 - 60,000"
87,Benzonatato,Antitusivo,"25,000 - 50,000"
88,Oximetazolina,Descongestionante nasal,"25,000 - 50,000"
89,Olanzapina,Antipsicótico,"20,000 - 40,000"
90,Etinilestradiol / Desogestrel,Anticonceptivo oral,"25,000 - 50,000"
91,Ketoprofeno,Antiinflamatorio,"15,000 - 30,000"
92,Indometacina,Antiinflamatorio / Gota,"15,000 - 25,000"
93,Piroxicam,Antiinflamatorio,"10,000 - 25,000"
94,Pravastatina,Control de Colesterol,"15,000 - 35,000"
95,Famotidina,Antiácido,"15,000 - 30,000"
96,Domperidona,Procinético gástrico,"15,000 - 30,000"
97,Lactulosa,Laxante,"15,000 - 35,000"
98,Pioglitazona,Antidiabético,"10,000 - 20,000"
99,Mupirocina,Antibiótico tópico,"15,000 - 35,000"
100,Donepecilo,Tratamiento de Alzheimer/Demencia,"10,000 - 25,000"
"#,Medicamento (Principio Activo),Categoría Principal,Búsquedas Mensuales Estimadas (México)",,,
"101,Tirzepatida (Mounjaro / Zepbound),Antidiabético / Control de peso,""25,000 - 50,000""",,,
